event_id,event_date,city,event_type,severity,duration_minutes,affected_users,status
NE000001,2025-11-16,Indore,CONGESTION,CRITICAL,276,158,OPEN
NE000002,2026-05-14,Bhopal,PACKET_LOSS,MEDIUM,221,4550,OPEN
NE000003,2026-04-16,Thane,PACKET_LOSS,MEDIUM,203,3176,CLOSED
NE000004,2026-01-16,Thane,OUTAGE,CRITICAL,226,1663,RESOLVED
NE000005,2026-07-11,Pune,CONGESTION,MEDIUM,92,2060,CLOSED
NE000006,2026-07-08,Indore,CONGESTION,MEDIUM,133,2943,RESOLVED
NE000007,2026-04-20,Pune,OUTAGE,LOW,55,4178,OPEN
NE000008,2026-05-16,Thane,CONGESTION,CRITICAL,261,4293,OPEN
NE000009,2025-09-25,Indore,CONGESTION,HIGH,67,1064,OPEN
NE000010,2025-10-07,Nashik,LOW_SIGNAL,MEDIUM,127,4181,RESOLVED
NE000011,2026-04-29,Nagpur,HIGH_LATENCY,HIGH,142,4507,IN_PROGRESS
NE000012,2026-03-31,Nagpur,CONGESTION,CRITICAL,203,4454,IN_PROGRESS
NE000013,2026-04-12,Indore,HIGH_LATENCY,LOW,262,1407,OPEN
NE000014,2025-09-24,Thane,LOW_SIGNAL,HIGH,136,615,OPEN
NE000015,2026-09-14,Indore,OUTAGE,CRITICAL,186,1805,CLOSED
NE000016,2026-04-07,Indore,OUTAGE,CRITICAL,13,2238,OPEN
NE000017,2026-07-11,Pune,CONGESTION,HIGH,246,2257,OPEN
NE000018,2026-01-26,Thane,LOW_SIGNAL,LOW,54,3363,OPEN
NE000019,2026-08-16,Nashik,PACKET_LOSS,MEDIUM,34,4440,RESOLVED
NE000020,2026-02-28,Pune,OUTAGE,MEDIUM,285,4947,IN_PROGRESS
NE000021,2025-09-29,Indore,OUTAGE,MEDIUM,87,4115,IN_PROGRESS
NE000022,2026-04-03,Nagpur,CONGESTION,MEDIUM,19,3941,CLOSED
NE000023,2026-09-22,Thane,OUTAGE,MEDIUM,25,814,RESOLVED
NE000024,2026-02-21,Mumbai,PACKET_LOSS,MEDIUM,264,1058,OPEN
NE000025,2025-11-26,Pune,LOW_SIGNAL,CRITICAL,245,2818,OPEN
NE000026,2026-01-05,Mumbai,CONGESTION,HIGH,136,4092,RESOLVED
NE000027,2025-12-02,Pune,PACKET_LOSS,CRITICAL,277,4926,CLOSED
NE000028,2025-11-01,Thane,HIGH_LATENCY,MEDIUM,39,3597,OPEN
NE000029,2026-05-02,Nashik,OUTAGE,HIGH,59,415,IN_PROGRESS
NE000030,2026-08-23,Mumbai,LOW_SIGNAL,CRITICAL,110,1253,OPEN
NE000031,2026-04-10,Thane,OUTAGE,CRITICAL,183,481,CLOSED
NE000032,2026-05-19,Thane,PACKET_LOSS,LOW,193,4538,RESOLVED
NE000033,2026-01-06,Nagpur,HIGH_LATENCY,HIGH,243,4510,RESOLVED
NE000034,2026-09-01,Nashik,LOW_SIGNAL,MEDIUM,166,251,OPEN
NE000035,2026-08-03,Pune,HIGH_LATENCY,MEDIUM,129,3967,IN_PROGRESS
NE000036,2026-08-30,Nagpur,CONGESTION,CRITICAL,181,3002,RESOLVED
NE000037,2026-06-02,Pune,PACKET_LOSS,MEDIUM,7,1074,CLOSED
NE000038,2026-03-31,Mumbai,CONGESTION,HIGH,37,3039,OPEN
NE000039,2026-05-22,Thane,LOW_SIGNAL,LOW,156,2302,OPEN
NE000040,2026-06-09,Mumbai,HIGH_LATENCY,CRITICAL,259,3041,RESOLVED
NE000041,2025-11-27,Mumbai,HIGH_LATENCY,CRITICAL,300,2469,OPEN
NE000042,2026-04-12,Nagpur,CONGESTION,MEDIUM,106,1614,RESOLVED
NE000043,2025-09-26,Mumbai,CONGESTION,MEDIUM,157,4259,OPEN
NE000044,2026-04-19,Thane,LOW_SIGNAL,MEDIUM,115,1209,RESOLVED
NE000045,2026-05-26,Pune,OUTAGE,MEDIUM,232,1033,IN_PROGRESS
NE000046,2026-08-11,Indore,HIGH_LATENCY,HIGH,162,2393,RESOLVED
