usage_id,customer_id,usage_date,data_used_gb,voice_minutes,sms_count
U000001,C000904,2026-02-07,0.5,55,37
U000002,C000295,2026-04-07,3.9,235,68
U000003,C000741,2025-12-14,3.48,1,28
U000004,C000837,2025-11-24,3.71,134,77
U000005,C000701,2025-12-19,4.56,112,21
U000006,C000706,2026-08-11,1.61,28,4
U000007,C000074,2026-06-17,0.6,27,34
U000008,C000473,2026-05-12,3.51,222,11
U000009,C000338,2025-09-29,3.63,71,81
U000010,C000521,2026-04-18,3.67,223,50
U000011,C000711,2026-03-19,2.85,201,42
U000012,C000368,2025-11-21,2.76,218,41
U000013,C000065,2026-01-24,2.43,175,70
U000014,C000822,2025-12-16,2.01,26,82
U000015,C000625,2025-11-04,2.12,108,46
U000016,C000352,2025-11-21,1.7,18,53
U000017,C000189,2025-12-06,2.81,78,32
U000018,C000354,2026-03-13,3.62,59,52
U000019,C000767,2026-06-24,0.27,185,80
U000020,C000587,2026-06-12,0.12,259,75
U000021,C000315,2026-09-10,2.65,81,7
U000022,C000055,2026-09-04,4.57,108,40
U000023,C000969,2026-05-19,2.72,230,38
U000024,C000968,2026-07-08,1.65,211,59
U000025,C000353,2025-10-05,1.06,135,11
U000026,C000738,2026-07-25,0.27,126,98
U000027,C000756,2026-09-03,2.39,75,76
U000028,C000502,2025-11-02,2.57,266,8
U000029,C000932,2026-03-05,3.13,268,21
U000030,C000991,2026-01-11,1.23,12,5
U000031,C000800,2026-08-29,0.35,161,24
U000032,C000303,2026-04-05,3.09,285,33
U000033,C000128,2026-01-10,2.8,127,64
U000034,C000932,2025-11-16,3.92,3,25
U000035,C000723,2025-10-11,0.13,61,47
U000036,C000525,2026-01-05,0.59,87,57
U000037,C000191,2026-01-08,2.22,54,100
U000038,C000293,2025-12-13,1.76,166,79
U000039,C000127,2026-02-13,1.34,112,55
U000040,C000388,2026-04-11,3.64,61,51
U000041,C000127,2026-02-17,4.03,227,83
U000042,C000927,2026-05-08,3.34,179,83
U000043,C000383,2026-05-03,2.45,100,69
U000044,C000692,2025-10-23,4.55,85,18
U000045,C000810,2026-02-09,1.37,51,62
U000046,C000476,2026-09-08,1.61,131,27
U000047,C000765,2026-07-20,3.74,263,19
U000048,C000387,2026-03-18,3.75,154,7
U000049,C000719,2026-02-01,2.78,250,86
U000050,C000765,2026-01-31,2.59,121,75
U000051,C000828,2026-05-17,2.24,127,75
U000052,C000276,2026-04-04,1.59,70,44
U000053,C000127,2025-10-25,0.6,45,79
U000054,C000107,2025-10-25,0.56,36,30
U000055,C000553,2026-08-03,2.97,272,26
U000056,C000683,2025-10-16,2.0,242,39
U000057,C000532,2026-02-20,0.96,144,2
U000058,C000575,2026-04-02,1.0,267,94
U000059,C000394,2025-11-01,3.93,184,57
U000060,C000066,2025-11-18,1.23,80,45
U000061,C000156,2026-05-25,4.6,272,50
U000062,C000073,2025-10-03,1.64,138,37
U000063,C000885,2026-05-19,0.78,251,40
U000064,C000942,2026-07-24,0.89,13,76
U000065,C000478,2026-02-15,2.54,297,32
U000066,C000277,2026-04-22,3.79,165,39
U000067,C000654,2026-04-07,1.9,277,34
U000068,C000457,2026-09-21,0.5,228,44
U000069,C000917,2025-11-11,3.17,161,22
U000070,C000989,2026-07-04,2.42,237,67
U000071,C000235,2026-05-06,1.09,282,1
U000072,C000709,2026-01-04,0.62,30,60
U000073,C000706,2025-12-03,4.65,175,45
U000074,C000368,2026-06-21,4.68,109,94
U000075,C000220,2026-03-18,2.62,83,65
U000076,C000559,2026-01-15,1.57,183,51
U000077,C000875,2026-07-12,2.28,254,61
U000078,C000880,2026-02-13,2.91,85,90
U000079,C000229,2025-11-05,0.86,45,67
U000080,C000819,2026-04-07,4.65,5,95
U000081,C000335,2025-11-21,0.71,132,66
U000082,C000063,2026-08-09,0.79,62,65
U000083,C000152,2026-03-12,2.08,216,6
U000084,C000772,2026-06-09,1.61,284,17
U000085,C000083,2026-08-31,0.36,120,9
U000086,C000398,2026-08-28,0.28,246,96
U000087,C000831,2026-05-25,3.03,146,49
U000088,C000746,2026-01-10,4.69,198,75
U000089,C000669,2026-08-09,4.37,117,3
U000090,C000583,2026-01-11,1.67,40,78
U000091,C000731,2026-08-06,0.36,270,53
U000092,C000394,2026-01-14,3.51,278,0
U000093,C000912,2026-04-17,4.06,57,66
U000094,C000549,2026-03-22,2.44,261,68
U000095,C000034,2026-04-29,3.05,131,86
U000096,C000707,2026-07-15,1.27,68,51
U000097,C000586,2026-09-06,4.57,216,36
U000098,C000710,2026-08-06,2.67,3,62
U000099,C000998,2026-07-28,4.12,45,44
U000100,C000009,2026-07-22,4.88,222,40
U000101,C000119,2026-09-17,0.94,116,89
U000102,C000093,2026-08-25,0.17,136,54
U000103,C000859,2025-12-11,4.56,121,2
U000104,C000235,2026-06-27,3.06,15,34
U000105,C000769,2026-01-09,1.09,166,69
U000106,C000958,2026-08-27,2.85,190,18
U000107,C000018,2025-11-03,1.0,84,71
U000108,C000636,2026-06-16,0.75,255,70
U000109,C000086,2026-03-10,1.2,202,90
U000110,C000740,2025-09-28,1.53,237,87
U000111,C000260,2025-12-10,4.0,36,42
U000112,C000617,2026-01-10,3.96,130,50
U000113,C000095,2025-12-04,3.29,38,21
U000114,C000867,2026-02-06,2.6,31,55
U000115,C000778,2026-03-03,3.17,293,82
U000116,C000046,2026-08-26,4.45,13,55
U000117,C000994,2025-10-31,3.22,139,35
U000118,C000867,2025-11-21,3.41,163,55
U000119,C000834,2026-08-09,0.5,194,92
U000120,C000492,2026-05-25,3.86,296,84
U000121,C000753,2025-11-25,4.58,176,63
U000122,C000679,2026-07-12,4.74,105,56
U000123,C000884,2026-04-21,3.64,22,66
U000124,C000457,2025-12-14,2.39,256,11
U000125,C000387,2025-10-24,1.49,120,62
U000126,C000760,2026-02-19,3.21,86,100
U000127,C000936,2025-12-23,4.21,14,71
U000128,C000307,2026-05-09,0.99,234,88
U000129,C000088,2026-08-17,2.16,276,92
U000130,C000086,2026-03-15,0.84,2,26
U000131,C000059,2026-04-24,2.71,57,52
U000132,C000423,2026-02-26,4.1,41,59
U000133,C000649,2025-10-14,4.55,69,7
U000134,C000487,2026-04-09,2.04,20,76
U000135,C000578,2026-01-28,2.94,170,93
U000136,C000383,2026-01-31,0.18,230,43
